City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,padang,-0.95,100.35,78.28,77,95,1.59,ID,1587240505
101,trud,42.23,24.73,62.6,51,20,6.93,BG,1587240505
102,leningradskiy,69.38,178.42,2.21,88,6,7.49,RU,1587240505
103,atuona,-9.8,-139.03,82.47,79,89,18.37,PF,1587240506
104,thompson,55.74,-97.86,14.0,51,40,11.41,CA,1587240357
105,kavieng,-2.57,150.8,81.88,78,92,4,PG,1587240506
106,freeport,40.66,-73.58,46.0,70,90,17.22,US,1587240335
107,aviles,43.55,-5.92,57.99,93,90,4.7,ES,1587240506
108,provideniya,64.38,-173.3,22.05,95,100,14.54,RU,1587240507
109,cabedelo,-6.98,-34.83,84.2,74,40,5.82,BR,1587240507
110,independenta,45.48,27.75,62.6,51,90,6.93,RO,1587240507
111,kilrush,52.64,-9.48,51.8,81,90,9.17,IE,1587240507
112,atbasar,51.8,68.33,51.39,60,100,7.16,KZ,1587240508
113,upernavik,72.79,-56.15,24.46,90,100,23.78,GL,1587240508
115,koshurnikovo,54.17,93.3,31.08,75,0,4.36,RU,1587240508
116,ancud,-41.87,-73.82,59.0,82,75,17.22,CL,1587240508
117,jalu,29.03,21.55,68.88,28,0,5.12,LY,1587240509
118,vila do maio,15.13,-23.22,75.2,57,20,21.92,CV,1587240509
119,mahebourg,-20.41,57.7,78.8,74,40,12.75,MU,1587240509
121,shubarkuduk,49.14,56.49,46.35,84,81,8.52,KZ,1587240509
122,san cristobal,7.77,-72.22,87.8,45,40,10.29,VE,1587240509
123,mount gambier,-37.83,140.77,46.4,93,90,5.82,AU,1587240510
124,ust-maya,60.42,134.53,9.37,92,98,2.44,RU,1587240510
125,auki,-8.77,160.7,81.64,76,96,2.89,SB,1587240510
126,vila velha,-20.33,-40.29,77.0,69,20,13.87,BR,1587240510
127,kodinsk,58.69,99.18,21.58,93,0,3.38,RU,1587240510
128,tuatapere,-46.13,167.68,43.0,91,54,5.01,NZ,1587240511
129,masallatah,32.62,14,66.92,49,19,12.64,LY,1587240511
131,ambon,-3.7,128.18,82.69,73,70,2.75,ID,1587240511
132,wenzhou,28,120.67,64.65,83,100,1.5,CN,1587240308
133,pandan,14.05,124.17,81.27,79,69,11.92,PH,1587240511
135,teguldet,57.31,88.17,37.69,82,2,8.55,RU,1587240512
136,pevek,69.7,170.31,-0.81,91,29,7.34,RU,1587240512
137,clyde river,70.47,-68.59,15.8,78,75,5.82,CA,1587240512
138,new norfolk,-42.78,147.06,42.01,86,60,2.44,AU,1587240513
139,mwinilunga,-11.74,24.43,63.14,63,85,5.88,ZM,1587240513
140,antalaha,-14.9,50.28,75.83,83,68,10.98,MG,1587240513
141,yellowknife,62.46,-114.35,24.01,79,90,11.41,CA,1587240358
142,kuah,6.33,99.84,82.4,88,20,1.12,MY,1587240514
143,san quintin,30.48,-115.95,64.15,57,0,17.96,MX,1587240287
144,geraldton,-28.77,114.6,66.2,93,40,3.36,AU,1587240220
145,ribeira brava,32.65,-17.07,60.01,91,11,3,PT,1587240514
146,hermanus,-34.42,19.23,68.0,47,69,4.81,ZA,1587240514
147,wajid,3.81,43.25,81.54,60,100,15.57,SO,1587240514
148,norman wells,65.28,-126.83,39.2,93,90,11.41,CA,1587240515
149,lebu,-37.62,-73.65,61.65,72,34,5.7,CL,1587240397
150,bati,11.18,40.02,63.3,58,100,3.04,ET,1587240515
151,staunton,38.15,-79.07,54.0,43,1,10.29,US,1587240423
152,coihaique,-45.58,-72.07,50.0,81,90,8.05,CL,1587240515
153,canmore,51.08,-115.35,37.8,49,100,4.18,CA,1587240515
154,chemainus,48.92,-123.72,62.6,59,20,6.93,CA,1587240516
155,kandrian,-6.22,149.55,79.5,81,38,3.29,PG,1587240516
156,ambilobe,-13.2,49.05,73.45,82,47,5.32,MG,1587240516
158,los llanos de aridane,28.66,-17.92,68.0,64,20,19.46,ES,1587240517
159,dawson creek,55.77,-120.24,44.6,42,1,2.24,CA,1587240517
160,cidreira,-30.18,-50.21,68.59,78,0,11.72,BR,1587240517
161,kudamatsu,34,131.87,55.4,71,20,3.47,JP,1587240517
162,nantucket,41.28,-70.1,41.0,93,90,19.46,US,1587240410
163,hofn,64.25,-15.21,45.36,87,100,17.56,IS,1587240518
164,nsawam,5.81,-0.35,84.2,83,20,17.22,GH,1587240518
165,evensk,61.95,159.23,13.21,88,100,11.43,RU,1587240518
166,saskylakh,71.92,114.08,8.49,79,0,5.37,RU,1587240518
167,contramaestre,20.3,-76.24,93.2,36,40,6.93,CU,1587240519
168,samarai,-10.62,150.67,80.65,80,99,1.41,PG,1587240519
169,sur,22.57,59.53,82.44,57,28,6.85,OM,1587240519
170,ventspils,57.39,21.56,39.2,74,0,8.05,LV,1587240519
171,richards bay,-28.78,32.04,72.9,77,33,8.1,ZA,1587240519
173,nador,35.17,-2.93,62.6,93,40,2.82,MA,1587240388
174,faya,18.39,42.45,66.2,82,100,6.93,SA,1587240087
175,taksimo,56.34,114.88,13.26,81,91,6.04,RU,1587240295
176,segezha,63.74,34.32,31.68,95,100,9.95,RU,1587240520
177,loiza,18.43,-65.88,84.2,74,40,19.46,PR,1587240521
178,doiwala,30.18,78.12,69.78,40,56,7.25,IN,1587240521
179,manaquiri,-3.32,-60.35,78.8,88,75,4.7,BR,1587240521
180,carnarvon,-24.87,113.63,73.4,88,40,16.11,AU,1587240521
181,tiksi,71.69,128.87,3.87,85,55,4.38,RU,1587240521
182,north bend,43.41,-124.22,53.6,76,75,9.17,US,1587240320
183,cherskiy,68.75,161.3,2.01,87,42,6.58,RU,1587240522
184,sosnovo-ozerskoye,52.52,111.54,22.42,77,99,6.91,RU,1587240522
185,manokwari,-0.87,134.08,81.3,72,99,3.47,ID,1587240522
186,mackay,-21.15,149.2,73.0,88,21,4.7,AU,1587240523
187,staines,51.43,-0.51,55.4,71,20,4.7,GB,1587240523
188,narsaq,60.92,-46.05,32.0,92,75,3.36,GL,1587240470
